;on_wind;battery storage;hydrogen_storage;Curtailment
0;49.19;33.85;519.31;49.19
1;49.03;33.85;519.31;49.03
2;48.45;33.85;519.31;48.45
3;47.55;33.85;519.31;47.55
4;46.48;33.85;519.31;46.48
5;45.75;33.85;515.97;45.75
6;45.34;33.85;515.97;45.34
7;43.53;33.85;515.97;43.53
8;41.32;33.85;515.97;41.32
9;37.63;33.85;515.97;37.63
10;33.04;33.85;515.97;33.04
11;30.33;33.85;515.97;30.33
12;26.81;33.85;515.97;26.81
13;20.82;33.85;515.97;20.82
14;14.27;33.85;515.97;14.27
15;5.98;36.39;515.97;5.98
16;9.02;33.85;515.97;9.02
17;0.0;43.61;515.97;0.0
18;0.0;38.61;515.97;0.0
19;0.0;31.23;519.31;0.0
20;0.0;24.92;519.31;0.0
21;0.0;28.36;519.31;0.0
22;4.51;33.85;519.31;4.51
23;14.68;33.85;519.31;14.68
24;24.19;33.85;519.31;24.19
25;29.43;33.85;519.31;29.43
26;28.2;33.85;519.31;28.2
27;28.53;33.85;519.31;28.53
28;27.05;33.85;519.31;27.05
29;25.82;33.85;515.97;25.82
30;28.04;33.85;515.97;28.04
31;29.27;33.85;515.97;29.27
32;35.01;33.85;515.97;35.01
33;30.01;33.85;515.97;30.01
34;26.56;33.85;515.97;26.56
35;0.0;55.91;515.97;0.0
36;8.69;39.67;515.97;8.69
37;4.59;33.85;515.97;4.59
38;0.0;33.44;515.97;0.0
39;0.0;34.34;515.97;0.0
40;0.0;35.82;515.97;0.0
41;0.0;37.62;515.97;0.0
42;0.0;39.67;515.97;0.0
43;0.0;40.49;519.31;0.0
44;0.0;40.33;519.31;0.0
45;0.0;39.1;519.31;0.0
46;0.0;39.92;519.31;0.0
47;0.0;37.62;519.31;0.0
48;0.0;34.92;519.31;0.0
49;0.0;33.2;519.31;0.0
50;0.0;32.29;519.31;0.0
51;0.0;30.82;519.31;0.0
52;0.0;29.34;519.31;0.0
53;0.0;28.69;515.97;0.0
54;0.0;28.11;515.97;0.0
55;0.0;28.2;515.97;0.0
56;0.0;27.87;515.97;0.0
57;0.0;27.95;515.97;0.0
58;0.0;27.79;515.97;0.0
59;0.0;26.8;515.97;0.0
60;0.0;25.33;515.97;0.0
61;0.0;26.39;515.97;0.0
62;0.0;32.38;515.97;0.0
63;3.53;33.85;515.97;3.53
64;6.97;33.85;515.97;6.97
65;7.95;33.85;515.97;7.95
66;9.1;33.85;515.97;9.1
67;10.25;33.85;519.31;10.25
68;10.82;33.85;519.31;10.82
69;12.95;33.85;519.31;12.95
70;16.15;33.85;519.31;16.15
71;19.35;33.85;519.31;19.35
72;22.55;33.85;519.31;22.55
73;26.4;33.85;519.31;26.4
74;32.06;33.85;519.31;32.06
75;36.24;33.85;519.31;36.24
76;42.71;33.85;519.31;42.71
77;46.57;33.85;515.97;46.57
78;49.85;33.85;515.97;49.85
79;50.09;33.85;515.97;50.09
80;51.16;33.85;515.97;51.16
81;51.57;33.85;515.97;51.57
82;51.9;33.85;515.97;51.9
83;51.49;33.85;515.97;51.49
84;51.4;33.85;515.97;51.4
85;49.85;33.85;515.97;49.85
86;48.53;33.85;515.97;48.53
87;48.45;33.85;515.97;48.45
88;48.29;33.85;515.97;48.29
89;47.22;33.85;515.97;47.22
90;47.14;33.85;515.97;47.14
91;46.65;33.85;519.31;46.65
92;46.4;33.85;519.31;46.4
93;46.16;33.85;519.31;46.16
94;45.75;33.85;519.31;45.75
95;45.42;33.85;519.31;45.42
96;44.44;33.85;519.31;44.44
97;45.17;33.85;519.31;45.17
98;44.85;33.85;519.31;44.85
99;43.78;33.85;519.31;43.78
100;42.39;33.85;519.31;42.39
101;40.34;33.85;515.97;40.34
102;37.47;33.85;515.97;37.47
103;35.33;33.85;515.97;35.33
104;31.32;33.85;515.97;31.32
105;2.3;58.04;515.97;2.3
106;22.96;33.85;515.97;22.96
107;20.99;33.85;515.97;20.99
108;0.0;49.68;515.97;0.0
109;5.0;33.85;515.97;5.0
110;0.0;32.87;515.97;0.0
111;0.0;32.7;515.97;0.0
112;0.0;31.64;515.97;0.0
113;0.0;28.44;515.97;0.0
114;0.0;26.47;515.97;0.0
115;0.0;26.47;519.31;0.0
116;0.0;26.88;519.31;0.0
117;0.0;27.95;519.31;0.0
118;0.0;31.23;519.31;0.0
119;1.48;33.85;519.31;1.48
120;6.97;33.85;519.31;6.97
121;8.77;33.85;519.31;8.77
122;9.35;33.85;519.31;9.35
123;10.58;33.85;519.31;10.58
124;13.36;33.85;519.31;13.36
125;12.54;33.85;515.97;12.54
126;20.25;33.85;515.97;20.25
127;26.81;33.85;515.97;26.81
128;32.14;33.85;515.97;32.14
129;35.99;33.85;515.97;35.99
130;37.3;33.85;515.97;37.3
131;32.63;33.85;515.97;32.63
132;25.5;33.85;515.97;25.5
133;15.82;33.85;515.97;15.82
134;7.46;33.85;515.97;7.46
135;1.56;35.16;515.97;1.56
136;0.0;33.44;515.97;0.0
137;0.0;32.95;515.97;0.0
138;0.74;33.85;515.97;0.74
139;2.95;33.85;519.31;2.95
140;4.1;33.85;519.31;4.1
141;6.15;33.85;519.31;6.15
142;5.98;33.85;519.31;5.98
143;7.46;33.85;519.31;7.46
