;on_wind;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
0;23.86;-21.61;0.0;-2.25;-5.87;-49.19
1;23.86;-21.61;0.0;-2.25;-5.87;-49.03
2;23.86;-21.61;0.0;-2.25;-5.87;-48.45
3;23.86;-21.61;0.0;-2.25;-5.87;-47.55
4;23.86;-21.61;0.0;-2.25;-5.87;-46.48
5;23.86;-21.61;0.0;-2.25;-2.53;-45.75
6;23.86;-21.61;0.0;-2.25;-2.53;-45.34
7;23.86;-21.61;0.0;-2.25;-2.53;-43.53
8;23.86;-21.61;0.0;-2.25;-2.53;-41.32
9;23.86;-21.61;0.0;-2.25;-2.53;-37.63
10;23.86;-21.61;0.0;-2.25;-2.53;-33.04
11;23.86;-21.61;0.0;-2.25;-2.53;-30.33
12;23.86;-21.61;0.0;-2.25;-2.53;-26.81
13;23.86;-21.61;0.0;-2.25;-2.53;-20.82
14;23.86;-21.61;0.0;-2.25;-2.53;-14.27
15;26.4;-21.61;-2.54;-2.25;-2.53;-5.98
16;23.86;-21.61;0.0;-2.25;-2.53;-9.02
17;33.61;-21.61;-9.76;-2.25;-2.53;-0.0
18;28.61;-21.61;-4.76;-2.25;-2.53;-0.0
19;21.23;-21.61;2.62;-2.25;-5.87;-0.0
20;14.92;-21.61;8.94;-2.25;-5.87;-0.0
21;18.36;-21.61;5.49;-2.25;-5.87;-0.0
22;23.86;-21.61;0.0;-2.25;-5.87;-4.51
23;23.86;-21.61;0.0;-2.25;-5.87;-14.68
24;23.86;-21.61;0.0;-2.25;-5.87;-24.19
25;23.86;-21.61;0.0;-2.25;-5.87;-29.43
26;23.86;-21.61;0.0;-2.25;-5.87;-28.2
27;23.86;-21.61;0.0;-2.25;-5.87;-28.53
28;23.86;-21.61;0.0;-2.25;-5.87;-27.05
29;23.86;-21.61;0.0;-2.25;-2.53;-25.82
30;23.86;-21.61;0.0;-2.25;-2.53;-28.04
31;23.86;-21.61;0.0;-2.25;-2.53;-29.27
32;23.86;-21.61;0.0;-2.25;-2.53;-35.01
33;23.86;-21.61;0.0;-2.25;-2.53;-30.01
34;23.86;-21.61;0.0;-2.25;-2.53;-26.56
35;45.91;-21.61;-22.05;-2.25;-2.53;-0.0
36;29.68;-21.61;-5.82;-2.25;-2.53;-8.69
37;23.86;-21.61;0.0;-2.25;-2.53;-4.59
38;23.45;-21.61;0.41;-2.25;-2.53;-0.0
39;24.35;-21.61;-0.49;-2.25;-2.53;-0.0
40;25.82;-21.61;-1.97;-2.25;-2.53;-0.0
41;27.63;-21.61;-3.77;-2.25;-2.53;-0.0
42;29.68;-21.61;-5.82;-2.25;-2.53;-0.0
43;30.5;-21.61;-6.64;-2.25;-5.87;-0.0
44;30.33;-21.61;-6.48;-2.25;-5.87;-0.0
45;29.1;-21.61;-5.25;-2.25;-5.87;-0.0
46;29.92;-21.61;-6.07;-2.25;-5.87;-0.0
47;27.63;-21.61;-3.77;-2.25;-5.87;-0.0
48;24.92;-21.61;-1.07;-2.25;-5.87;-0.0
49;23.2;-21.61;0.66;-2.25;-5.87;-0.0
50;22.3;-21.61;1.56;-2.25;-5.87;-0.0
51;20.82;-21.61;3.03;-2.25;-5.87;-0.0
52;19.35;-21.61;4.51;-2.25;-5.87;-0.0
53;18.69;-21.61;5.16;-2.25;-2.53;-0.0
54;18.12;-21.61;5.74;-2.25;-2.53;-0.0
55;18.2;-21.61;5.66;-2.25;-2.53;-0.0
56;17.87;-21.61;5.98;-2.25;-2.53;-0.0
57;17.95;-21.61;5.9;-2.25;-2.53;-0.0
58;17.79;-21.61;6.07;-2.25;-2.53;-0.0
59;16.81;-21.61;7.05;-2.25;-2.53;-0.0
60;15.33;-21.61;8.53;-2.25;-2.53;-0.0
61;16.4;-21.61;7.46;-2.25;-2.53;-0.0
62;22.38;-21.61;1.48;-2.25;-2.53;-0.0
63;23.86;-21.61;0.0;-2.25;-2.53;-3.53
64;23.86;-21.61;0.0;-2.25;-2.53;-6.97
65;23.86;-21.61;0.0;-2.25;-2.53;-7.95
66;23.86;-21.61;0.0;-2.25;-2.53;-9.1
67;23.86;-21.61;0.0;-2.25;-5.87;-10.25
68;23.86;-21.61;0.0;-2.25;-5.87;-10.82
69;23.86;-21.61;0.0;-2.25;-5.87;-12.95
70;23.86;-21.61;0.0;-2.25;-5.87;-16.15
71;23.86;-21.61;0.0;-2.25;-5.87;-19.35
72;23.86;-21.61;0.0;-2.25;-5.87;-22.55
73;23.86;-21.61;0.0;-2.25;-5.87;-26.4
74;23.86;-21.61;0.0;-2.25;-5.87;-32.06
75;23.86;-21.61;0.0;-2.25;-5.87;-36.24
76;23.86;-21.61;0.0;-2.25;-5.87;-42.71
77;23.86;-21.61;0.0;-2.25;-2.53;-46.57
78;23.86;-21.61;0.0;-2.25;-2.53;-49.85
79;23.86;-21.61;0.0;-2.25;-2.53;-50.09
80;23.86;-21.61;0.0;-2.25;-2.53;-51.16
81;23.86;-21.61;0.0;-2.25;-2.53;-51.57
82;23.86;-21.61;0.0;-2.25;-2.53;-51.9
83;23.86;-21.61;0.0;-2.25;-2.53;-51.49
84;23.86;-21.61;0.0;-2.25;-2.53;-51.4
85;23.86;-21.61;0.0;-2.25;-2.53;-49.85
86;23.86;-21.61;0.0;-2.25;-2.53;-48.53
87;23.86;-21.61;0.0;-2.25;-2.53;-48.45
88;23.86;-21.61;0.0;-2.25;-2.53;-48.29
89;23.86;-21.61;0.0;-2.25;-2.53;-47.22
90;23.86;-21.61;0.0;-2.25;-2.53;-47.14
91;23.86;-21.61;0.0;-2.25;-5.87;-46.65
92;23.86;-21.61;0.0;-2.25;-5.87;-46.4
93;23.86;-21.61;0.0;-2.25;-5.87;-46.16
94;23.86;-21.61;0.0;-2.25;-5.87;-45.75
95;23.86;-21.61;0.0;-2.25;-5.87;-45.42
96;23.86;-21.61;0.0;-2.25;-5.87;-44.44
97;23.86;-21.61;0.0;-2.25;-5.87;-45.17
98;23.86;-21.61;0.0;-2.25;-5.87;-44.85
99;23.86;-21.61;0.0;-2.25;-5.87;-43.78
100;23.86;-21.61;0.0;-2.25;-5.87;-42.39
101;23.86;-21.61;0.0;-2.25;-2.53;-40.34
102;23.86;-21.61;0.0;-2.25;-2.53;-37.47
103;23.86;-21.61;0.0;-2.25;-2.53;-35.33
104;23.86;-21.61;0.0;-2.25;-2.53;-31.32
105;48.04;-21.61;-24.19;-2.25;-2.53;-2.3
106;23.86;-21.61;0.0;-2.25;-2.53;-22.96
107;23.86;-21.61;0.0;-2.25;-2.53;-20.99
108;39.68;-21.61;-15.82;-2.25;-2.53;-0.0
109;23.86;-21.61;0.0;-2.25;-2.53;-5.0
110;22.87;-21.61;0.98;-2.25;-2.53;-0.0
111;22.71;-21.61;1.15;-2.25;-2.53;-0.0
112;21.64;-21.61;2.21;-2.25;-2.53;-0.0
113;18.45;-21.61;5.41;-2.25;-2.53;-0.0
114;16.48;-21.61;7.38;-2.25;-2.53;-0.0
115;16.48;-21.61;7.38;-2.25;-5.87;-0.0
116;16.89;-21.61;6.97;-2.25;-5.87;-0.0
117;17.95;-21.61;5.9;-2.25;-5.87;-0.0
118;21.23;-21.61;2.62;-2.25;-5.87;-0.0
119;23.86;-21.61;0.0;-2.25;-5.87;-1.48
120;23.86;-21.61;0.0;-2.25;-5.87;-6.97
121;23.86;-21.61;0.0;-2.25;-5.87;-8.77
122;23.86;-21.61;0.0;-2.25;-5.87;-9.35
123;23.86;-21.61;0.0;-2.25;-5.87;-10.58
124;23.86;-21.61;0.0;-2.25;-5.87;-13.36
125;23.86;-21.61;0.0;-2.25;-2.53;-12.54
126;23.86;-21.61;0.0;-2.25;-2.53;-20.25
127;23.86;-21.61;0.0;-2.25;-2.53;-26.81
128;23.86;-21.61;0.0;-2.25;-2.53;-32.14
129;23.86;-21.61;0.0;-2.25;-2.53;-35.99
130;23.86;-21.61;0.0;-2.25;-2.53;-37.3
131;23.86;-21.61;0.0;-2.25;-2.53;-32.63
132;23.86;-21.61;0.0;-2.25;-2.53;-25.5
133;23.86;-21.61;0.0;-2.25;-2.53;-15.82
134;23.86;-21.61;0.0;-2.25;-2.53;-7.46
135;25.17;-21.61;-1.31;-2.25;-2.53;-1.56
136;23.45;-21.61;0.41;-2.25;-2.53;-0.0
137;22.96;-21.61;0.9;-2.25;-2.53;-0.0
138;23.86;-21.61;0.0;-2.25;-2.53;-0.74
139;23.86;-21.61;0.0;-2.25;-5.87;-2.95
140;23.86;-21.61;0.0;-2.25;-5.87;-4.1
141;23.86;-21.61;0.0;-2.25;-5.87;-6.15
142;23.86;-21.61;0.0;-2.25;-5.87;-5.98
143;23.86;-21.61;0.0;-2.25;-5.87;-7.46
144;23.86;-21.61;0.0;-2.25;-5.87;-9.26
145;23.86;-21.61;0.0;-2.25;-5.87;-11.23
146;23.86;-21.61;0.0;-2.25;-5.87;-10.0
147;23.86;-21.61;0.0;-2.25;-5.87;-7.95
148;23.86;-21.61;0.0;-2.25;-5.87;-5.33
149;23.86;-21.61;0.0;-2.25;-2.53;-5.57
150;23.86;-21.61;0.0;-2.25;-2.53;-8.2
