snapshot;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
1;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
2;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
3;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
4;23.86;0.0;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
5;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
6;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
7;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
8;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
9;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
10;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
11;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
12;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
13;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
14;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
15;26.4;-2.54;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
16;23.86;0.0;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
17;33.61;-9.76;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
18;28.61;-4.76;-2.53;21.61;12.53;-12.53;-12.53;2.25;0.0;10.0
19;21.23;2.62;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
20;14.92;8.94;-5.87;21.61;12.53;-12.53;-12.53;2.25;0.0;6.67
