;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
0;-0.0;-31.51;34.79;-3.28;-11.61;-0.0
1;-0.0;-31.51;34.79;-3.28;-11.61;-0.0
2;-0.0;-31.51;34.79;-3.28;-11.61;-0.0
3;-0.0;-31.51;34.79;-3.28;-11.61;-0.0
4;-0.0;-31.51;34.79;-3.28;-11.61;-0.0
5;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
6;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
7;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
8;30.75;-31.51;4.04;-3.28;-8.28;-0.0
9;84.06;-31.51;-49.27;-3.28;-8.28;-0.0
10;147.62;-31.51;-112.82;-3.28;-8.28;-0.0
11;197.5;-31.51;-162.71;-3.28;-8.28;-0.0
12;183.84;-31.51;-149.04;-3.28;-8.28;-0.0
13;113.45;-31.51;-78.65;-3.28;-8.28;-0.0
14;31.44;-28.48;0.0;-2.96;-6.52;-0.0
15;-0.0;-7.0;7.73;-0.73;5.94;-0.0
16;-0.0;-7.0;7.73;-0.73;5.94;-0.0
17;-0.0;-7.0;7.73;-0.73;5.94;-0.0
18;-0.0;-7.0;7.73;-0.73;5.94;-0.0
19;-0.0;-7.0;7.73;-0.73;2.6;-0.0
20;-0.0;-7.0;7.73;-0.73;2.6;-0.0
21;-0.0;-7.0;7.73;-0.73;2.6;-0.0
22;-0.0;-7.0;7.73;-0.73;2.6;-0.0
23;-0.0;-7.0;7.73;-0.73;2.6;-0.0
24;-0.0;-7.0;7.73;-0.73;2.6;-0.0
25;-0.0;-7.0;7.73;-0.73;2.6;-0.0
26;-0.0;-7.0;7.73;-0.73;2.6;-0.0
27;-0.0;-7.0;7.73;-0.73;2.6;-0.0
28;-0.0;-7.0;7.73;-0.73;2.6;-0.0
29;-0.0;-7.0;7.73;-0.73;5.94;-0.0
30;-0.0;-7.0;7.73;-0.73;5.94;-0.0
31;-0.0;-7.0;7.73;-0.73;5.94;-0.0
32;4.78;-7.0;2.95;-0.73;5.94;-0.0
33;16.4;-14.86;0.0;-1.54;1.38;-0.0
34;28.02;-25.38;0.0;-2.64;-4.72;-0.0
35;40.32;-31.51;-5.53;-3.28;-8.28;-0.0
36;32.12;-29.09;0.0;-3.03;-6.88;-0.0
37;26.65;-24.14;0.0;-2.51;-4.0;-0.0
38;12.3;-11.14;0.0;-1.16;3.54;-0.0
39;-0.0;-7.0;7.73;-0.73;5.94;-0.0
40;-0.0;-7.0;7.73;-0.73;5.94;-0.0
41;-0.0;-7.0;7.73;-0.73;5.94;-0.0
42;-0.0;-7.0;7.73;-0.73;5.94;-0.0
43;-0.0;-7.0;7.73;-0.73;2.6;-0.0
44;-0.0;-7.0;7.73;-0.73;2.6;-0.0
45;-0.0;-7.0;7.73;-0.73;2.6;-0.0
46;-0.0;-7.0;7.73;-0.73;2.6;-0.0
47;-0.0;-7.0;7.73;-0.73;2.6;-0.0
48;-0.0;-7.0;7.73;-0.73;2.6;-0.0
49;-0.0;-7.0;7.73;-0.73;2.6;-0.0
50;-0.0;-7.0;7.73;-0.73;2.6;-0.0
51;-0.0;-7.0;7.73;-0.73;2.6;-0.0
52;-0.0;-7.0;7.73;-0.73;2.6;-0.0
53;-0.0;-7.0;7.73;-0.73;5.94;-0.0
54;-0.0;-7.0;7.73;-0.73;5.94;-0.0
55;-0.0;-7.0;7.73;-0.73;5.94;-0.0
56;12.3;-11.14;0.0;-1.16;3.54;-0.0
57;37.59;-31.51;-2.8;-3.28;-8.28;-0.0
58;58.09;-31.51;-23.3;-3.28;-8.28;-0.0
59;93.63;-31.51;-58.84;-3.28;-8.28;-0.0
60;100.46;-31.51;-65.67;-3.28;-8.28;-0.0
61;51.94;-31.51;-17.15;-3.28;-8.28;-0.0
62;18.45;-16.71;0.0;-1.74;0.3;-0.0
63;-0.0;-7.0;7.73;-0.73;5.94;-0.0
64;-0.0;-7.0;7.73;-0.73;5.94;-0.0
65;-0.0;-7.0;7.73;-0.73;5.94;-0.0
66;-0.0;-7.0;7.73;-0.73;5.94;-0.0
67;-0.0;-7.0;7.73;-0.73;2.6;-0.0
68;-0.0;-7.0;7.73;-0.73;2.6;-0.0
69;-0.0;-7.0;7.73;-0.73;2.6;-0.0
70;-0.0;-7.0;7.73;-0.73;2.6;-0.0
71;-0.0;-7.0;7.73;-0.73;2.6;-0.0
72;-0.0;-7.0;7.73;-0.73;2.6;-0.0
73;-0.0;-11.49;12.69;-1.2;0.0;-0.0
74;-0.0;-11.49;12.69;-1.2;0.0;-0.0
75;-0.0;-7.0;7.73;-0.73;2.6;-0.0
76;-0.0;-11.49;12.69;-1.2;0.0;-0.0
77;-0.0;-17.24;19.03;-1.79;0.0;-0.0
78;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
79;-0.0;-17.24;19.03;-1.79;0.0;-0.0
80;0.68;-31.51;34.11;-3.28;-8.28;-0.0
81;4.1;-17.24;14.93;-1.79;0.0;-0.0
82;19.14;-17.33;0.0;-1.8;-0.05;-0.0
83;26.65;-24.14;0.0;-2.51;-4.0;-0.0
84;9.57;-8.67;0.0;-0.9;4.97;-0.0
85;3.42;-7.0;4.31;-0.73;5.94;-0.0
86;0.68;-7.0;7.05;-0.73;5.94;-0.0
87;-0.0;-7.0;7.73;-0.73;5.94;-0.0
88;-0.0;-9.67;10.68;-1.01;4.39;-0.0
89;-0.0;-17.24;19.03;-1.79;0.0;-0.0
90;-0.0;-7.0;7.73;-0.73;5.94;-0.0
91;-0.0;-11.49;12.69;-1.2;0.0;-0.0
92;-0.0;-11.49;12.69;-1.2;0.0;-0.0
93;-0.0;-11.49;12.69;-1.2;0.0;-0.0
94;-0.0;-11.49;12.69;-1.2;0.0;-0.0
95;-0.0;-11.49;12.69;-1.2;0.0;-0.0
96;-0.0;-11.49;12.69;-1.2;0.0;-0.0
97;-0.0;-11.49;12.69;-1.2;0.0;-0.0
98;-0.0;-11.49;12.69;-1.2;0.0;-0.0
99;-0.0;-11.49;12.69;-1.2;0.0;-0.0
100;-0.0;-11.49;12.69;-1.2;0.0;-0.0
101;-0.0;-17.24;19.03;-1.79;0.0;-0.0
102;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
103;-0.0;-31.51;34.79;-3.28;-8.28;-0.0
104;14.35;-26.35;14.74;-2.74;-5.29;-0.0
105;66.97;-31.51;-32.18;-3.28;-8.28;-0.0
106;140.1;-31.51;-105.31;-3.28;-8.28;-0.0
107;209.12;-31.51;-174.33;-3.28;-8.28;-34.85
108;209.12;-31.51;-174.33;-3.28;-8.28;-10.93
109;156.5;-31.51;-121.71;-3.28;-8.28;-0.0
110;51.26;-31.51;-16.46;-3.28;-8.28;-0.0
111;-0.0;-7.0;7.73;-0.73;5.94;-0.0
112;-0.0;-7.0;7.73;-0.73;5.94;-0.0
113;-0.0;-7.0;7.73;-0.73;5.94;-0.0
114;-0.0;-7.0;7.73;-0.73;5.94;-0.0
115;-0.0;-7.0;7.73;-0.73;2.6;-0.0
116;-0.0;-7.0;7.73;-0.73;2.6;-0.0
117;-0.0;-7.0;7.73;-0.73;2.6;-0.0
118;-0.0;-7.0;7.73;-0.73;2.6;-0.0
119;-0.0;-7.0;7.73;-0.73;2.6;-0.0
120;-0.0;-7.0;7.73;-0.73;2.6;-0.0
121;-0.0;-7.0;7.73;-0.73;2.6;-0.0
122;-0.0;-7.0;7.73;-0.73;2.6;-0.0
123;-0.0;-7.0;7.73;-0.73;2.6;-0.0
124;-0.0;-7.0;7.73;-0.73;2.6;-0.0
125;-0.0;-7.0;7.73;-0.73;5.94;-0.0
126;-0.0;-17.24;19.03;-1.79;0.0;-0.0
127;-0.0;-17.24;19.03;-1.79;0.0;-0.0
128;6.15;-17.24;12.88;-1.79;0.0;-0.0
129;13.67;-16.12;4.13;-1.68;0.65;-0.0
130;15.03;-13.62;0.0;-1.42;2.1;-0.0
131;40.32;-31.51;-5.53;-3.28;-8.28;-0.0
132;97.04;-31.51;-62.25;-3.28;-8.28;-0.0
133;77.22;-31.51;-42.43;-3.28;-8.28;-0.0
134;21.87;-19.81;0.0;-2.06;-1.49;-0.0
135;-0.0;-7.0;7.73;-0.73;5.94;-0.0
136;-0.0;-7.0;7.73;-0.73;5.94;-0.0
137;-0.0;-7.0;7.73;-0.73;5.94;-0.0
138;-0.0;-7.0;7.73;-0.73;5.94;-0.0
139;-0.0;-7.0;7.73;-0.73;2.6;-0.0
140;-0.0;-7.0;7.73;-0.73;2.6;-0.0
141;-0.0;-7.0;7.73;-0.73;2.6;-0.0
142;-0.0;-7.0;7.73;-0.73;2.6;-0.0
143;-0.0;-7.0;7.73;-0.73;2.6;-0.0
144;-0.0;-7.0;7.73;-0.73;2.6;-0.0
145;-0.0;-11.49;12.69;-1.2;0.0;-0.0
146;-0.0;-11.49;12.69;-1.2;0.0;-0.0
147;-0.0;-11.49;12.69;-1.2;0.0;-0.0
148;-0.0;-11.49;12.69;-1.2;0.0;-0.0
149;-0.0;-17.24;19.03;-1.79;0.0;-0.0
150;-0.0;-17.24;19.03;-1.79;0.0;-0.0
151;-0.0;-27.89;30.8;-2.9;-6.18;-0.0
152;12.98;-17.24;6.05;-1.79;0.0;-0.0
153;40.32;-31.51;-5.53;-3.28;-8.28;-0.0
154;58.09;-31.51;-23.3;-3.28;-8.28;-0.0
155;70.39;-31.51;-35.6;-3.28;-8.28;-0.0
156;83.38;-31.51;-48.58;-3.28;-8.28;-0.0
157;83.38;-31.51;-48.58;-3.28;-8.28;-0.0
158;29.39;-26.62;0.0;-2.77;-5.44;-0.0
159;-0.0;-7.0;7.73;-0.73;5.94;-0.0
160;-0.0;-17.24;19.03;-1.79;0.0;-0.0
161;-0.0;-7.0;7.73;-0.73;5.94;-0.0
162;-0.0;-17.24;19.03;-1.79;0.0;-0.0
163;-0.0;0.0;0.0;0.0;6.67;-0.0
164;-0.0;0.0;0.0;0.0;6.67;-0.0
