snapshot;pv;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
1;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
2;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
3;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
4;-0.0;34.79;-11.61;31.51;18.28;-18.28;-18.28;3.28;0.0;6.67
5;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
6;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
7;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
8;30.75;4.04;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
9;84.06;-49.27;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
10;147.62;-112.82;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
11;197.5;-162.71;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
12;183.84;-149.04;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
13;113.45;-78.65;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
14;31.44;0.0;-6.52;28.48;16.52;-16.52;-16.52;2.96;0.0;10.0
15;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
16;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
17;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
18;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
19;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
20;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
21;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
22;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
23;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
24;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
25;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
26;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
27;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
28;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
29;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
30;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
31;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
32;4.78;2.95;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
33;16.4;0.0;1.38;14.86;8.62;-8.62;-8.62;1.54;0.0;10.0
34;28.02;0.0;-4.72;25.38;14.72;-14.72;-14.72;2.64;0.0;10.0
35;40.32;-5.53;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
36;32.12;0.0;-6.88;29.09;16.87;-16.87;-16.87;3.03;0.0;10.0
37;26.65;0.0;-4.0;24.14;14.0;-14.0;-14.0;2.51;0.0;10.0
38;12.3;0.0;3.54;11.14;6.46;-6.46;-6.46;1.16;0.0;10.0
39;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
40;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
41;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
42;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
43;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
44;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
45;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
46;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
47;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
48;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
49;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
50;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
51;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
52;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
53;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
54;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
55;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
56;12.3;0.0;3.54;11.14;6.46;-6.46;-6.46;1.16;0.0;10.0
57;37.59;-2.8;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
58;58.09;-23.3;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
59;93.63;-58.84;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
60;100.46;-65.67;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
61;51.94;-17.15;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
62;18.45;0.0;0.3;16.71;9.69;-9.69;-9.69;1.74;0.0;10.0
63;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
64;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
65;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
66;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
67;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
68;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
69;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
70;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
71;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
72;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
73;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
74;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
75;-0.0;7.73;2.6;7.0;4.06;-4.06;-4.06;0.73;0.0;6.67
76;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
77;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
78;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
79;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
80;0.68;34.11;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
81;4.1;14.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
82;19.14;0.0;-0.05;17.33;10.05;-10.05;-10.05;1.8;0.0;10.0
83;26.65;0.0;-4.0;24.14;14.0;-14.0;-14.0;2.51;0.0;10.0
84;9.57;0.0;4.97;8.67;5.03;-5.03;-5.03;0.9;0.0;10.0
85;3.42;4.31;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
86;0.68;7.05;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
87;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
88;-0.0;10.68;4.39;9.67;5.61;-5.61;-5.61;1.01;0.0;10.0
89;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
90;-0.0;7.73;5.94;7.0;4.06;-4.06;-4.06;0.73;0.0;10.0
91;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
92;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
93;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
94;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
95;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
96;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
97;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
98;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
99;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
100;-0.0;12.69;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
101;-0.0;19.03;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
102;-0.0;34.79;-8.28;31.51;18.28;-18.28;-18.28;3.28;0.0;10.0
