;on_wind;pv;battery storage;hydrogen_storage;Curtailment
0;13.61;0.0;19.93;185.55;13.61
1;13.52;0.0;19.93;185.55;13.52
2;13.22;0.0;19.93;185.55;13.22
3;12.74;0.0;19.93;185.55;12.74
4;12.18;0.0;19.93;185.55;12.18
5;11.79;0.0;19.93;182.22;11.79
6;11.58;0.0;19.93;182.22;11.58
7;8.77;0.0;21.79;182.22;8.77
8;0.0;0.0;31.49;182.22;0.0
9;0.0;0.0;33.18;182.22;0.0
10;0.0;0.0;35.09;182.22;0.0
11;0.0;0.0;37.07;182.22;0.0
12;0.0;0.0;34.28;182.22;0.0
13;0.0;0.0;26.33;182.22;0.0
14;0.0;0.0;17.28;182.22;0.0
15;0.0;0.0;17.96;179.15;0.0
16;0.0;0.0;12.37;182.22;0.0
17;0.0;0.0;19.93;178.45;0.0
18;0.0;0.0;15.97;179.15;0.0
19;0.0;0.0;9.45;183.87;0.0
20;0.0;0.0;15.1;179.15;0.0
21;0.0;0.0;16.92;179.15;0.0
22;0.0;0.0;19.93;180.33;0.0
23;0.0;0.0;19.93;183.15;0.0
24;0.0;0.0;20.36;185.55;0.0
25;0.0;0.0;23.13;185.55;0.0
26;0.0;0.0;22.48;185.55;0.0
27;0.0;0.0;22.65;185.55;0.0
28;0.0;0.0;21.88;185.55;0.0
29;0.0;0.0;21.23;182.22;0.0
30;0.0;0.0;22.39;182.22;0.0
31;0.0;0.0;23.04;182.22;0.0
32;0.0;0.0;26.39;182.22;0.0
33;0.0;0.0;24.55;182.22;0.0
34;0.0;0.0;23.53;182.22;0.0
35;0.0;0.0;21.99;182.22;0.0
36;0.0;0.0;19.93;180.92;0.0
37;0.0;0.0;19.93;177.98;0.0
38;0.0;0.0;19.93;176.08;0.0
39;0.0;0.0;19.93;175.89;0.0
40;0.0;0.0;19.93;176.3;0.0
41;0.0;0.0;19.93;176.8;0.0
42;0.0;0.0;19.93;177.36;0.0
43;0.0;0.0;19.93;180.92;0.0
44;0.0;0.0;19.93;180.88;0.0
45;0.0;0.0;19.93;180.54;0.0
46;0.0;0.0;19.93;180.76;0.0
47;0.0;0.0;19.93;180.13;0.0
48;0.0;0.0;19.93;179.38;0.0
49;0.0;0.0;19.93;178.9;0.0
50;0.0;0.0;19.93;178.65;0.0
51;0.0;0.0;18.21;179.15;0.0
52;0.0;0.0;5.96;185.17;0.0
53;0.0;0.0;10.74;179.15;0.0
54;0.0;0.0;19.93;174.16;0.0
55;0.0;0.0;10.49;179.15;0.0
56;0.0;0.0;5.31;182.22;0.0
57;0.0;0.0;19.93;175.47;0.0
58;0.0;0.0;19.93;176.15;0.0
59;0.0;0.0;19.93;177.16;0.0
60;0.0;0.0;19.93;176.99;0.0
61;0.0;0.0;19.93;175.55;0.0
62;0.0;0.0;13.95;179.15;0.0
63;0.0;0.0;9.48;182.22;0.0
64;0.0;0.0;17.14;179.15;0.0
65;0.0;0.0;17.65;179.15;0.0
66;0.0;0.0;19.93;178.27;0.0
67;0.0;0.0;19.93;181.92;0.0
68;0.0;0.0;19.93;182.08;0.0
69;0.0;0.0;14.45;185.55;0.0
70;0.0;0.0;16.13;185.55;0.0
71;0.0;0.0;19.93;184.44;0.0
72;0.0;0.0;19.93;185.33;0.0
73;1.6;0.0;19.93;185.55;1.6
74;4.58;0.0;19.93;185.55;4.58
75;6.78;0.0;19.93;185.55;6.78
76;10.19;0.0;19.93;185.55;10.19
77;12.22;0.0;19.93;182.22;12.22
78;13.95;0.0;19.93;182.22;13.95
79;14.08;0.0;19.93;182.22;14.08
80;14.69;0.0;19.93;182.22;14.69
81;15.14;0.0;19.93;182.22;15.14
82;16.34;0.0;19.93;182.22;16.34
83;16.63;0.0;19.93;182.22;16.63
84;15.42;0.0;19.93;182.22;15.42
85;14.18;0.0;19.93;182.22;14.18
86;13.31;0.0;19.93;182.22;13.31
87;13.22;0.0;19.93;182.22;13.22
88;13.13;0.0;19.93;182.22;13.13
89;12.57;0.0;19.93;182.22;12.57
90;12.53;0.0;19.93;182.22;12.53
91;12.27;0.0;19.93;185.55;12.27
92;12.14;0.0;19.93;185.55;12.14
93;12.01;0.0;19.93;185.55;12.01
94;11.79;0.0;19.93;185.55;11.79
95;11.62;0.0;19.93;185.55;11.62
96;11.1;0.0;19.93;185.55;11.1
97;11.49;0.0;19.93;185.55;11.49
98;11.32;0.0;19.93;185.55;11.32
