;on_wind;pv;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
0;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-13.61
1;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-13.52
2;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-13.22
3;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-12.74
4;24.88;-0.0;-22.53;0.0;-2.34;-6.4;-12.18
5;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-11.79
6;24.88;-0.0;-22.53;0.0;-2.34;-3.07;-11.58
7;26.73;-0.0;-22.53;-1.86;-2.34;-3.07;-8.77
8;34.34;2.1;-22.53;-11.56;-2.34;-3.07;-0.0
9;32.39;5.73;-22.53;-13.25;-2.34;-3.07;-0.0
10;29.97;10.07;-22.53;-15.16;-2.34;-3.07;-0.0
11;28.55;13.47;-22.53;-17.14;-2.34;-3.07;-0.0
12;26.69;12.54;-22.53;-14.35;-2.34;-3.07;-0.0
13;23.54;7.74;-22.53;-6.4;-2.34;-3.07;-0.0
14;20.08;2.14;-22.53;2.65;-2.34;-3.07;-0.0
15;17.06;-0.0;-17.24;1.97;-1.79;0.0;-0.0
16;17.32;-0.0;-22.53;7.56;-2.34;-3.07;-0.0
17;17.71;-0.0;-16.04;0.0;-1.67;0.7;-0.0
18;15.07;-0.0;-17.24;3.96;-1.79;0.0;-0.0
19;11.19;-0.0;-19.63;10.48;-2.04;-4.72;-0.0
20;7.86;-0.0;-11.49;4.83;-1.2;0.0;-0.0
21;9.67;-0.0;-11.49;3.01;-1.2;0.0;-0.0
22;14.94;-0.0;-13.54;0.0;-1.41;-1.18;-0.0
23;20.3;-0.0;-18.39;0.0;-1.91;-4.0;-0.0
24;25.31;-0.0;-22.53;-0.43;-2.34;-6.4;-0.0
25;28.07;-0.0;-22.53;-3.2;-2.34;-6.4;-0.0
26;27.43;-0.0;-22.53;-2.55;-2.34;-6.4;-0.0
27;27.6;-0.0;-22.53;-2.72;-2.34;-6.4;-0.0
28;26.82;-0.0;-22.53;-1.95;-2.34;-6.4;-0.0
29;26.17;-0.0;-22.53;-1.3;-2.34;-3.07;-0.0
30;27.34;-0.0;-22.53;-2.46;-2.34;-3.07;-0.0
31;27.99;-0.0;-22.53;-3.11;-2.34;-3.07;-0.0
32;31.01;0.33;-22.53;-6.46;-2.34;-3.07;-0.0
33;28.38;1.12;-22.53;-4.62;-2.34;-3.07;-0.0
