snapshot;pv;on_wind;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
1;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
2;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
3;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
4;-0.0;24.88;0.0;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
5;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
6;-0.0;24.88;0.0;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
7;-0.0;26.73;-1.86;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
8;2.1;34.34;-11.56;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
9;5.73;32.39;-13.25;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
10;10.07;29.97;-15.16;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
11;13.47;28.55;-17.14;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
12;12.54;26.69;-14.35;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
13;7.74;23.54;-6.4;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
14;2.14;20.08;2.65;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
15;-0.0;17.06;1.97;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
16;-0.0;17.32;7.56;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
17;-0.0;17.71;0.0;0.7;16.04;9.3;-9.3;-9.3;1.67;0.0;10.0
18;-0.0;15.07;3.96;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
19;-0.0;11.19;10.48;-4.72;19.63;11.38;-11.38;-11.38;2.04;0.0;6.67
20;-0.0;7.86;4.83;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
21;-0.0;9.67;3.01;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
22;-0.0;14.94;0.0;-1.18;13.54;7.85;-7.85;-7.85;1.41;0.0;6.67
23;-0.0;20.3;0.0;-4.0;18.39;10.66;-10.66;-10.66;1.91;0.0;6.67
24;-0.0;25.31;-0.43;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
25;-0.0;28.07;-3.2;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
26;-0.0;27.43;-2.55;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
27;-0.0;27.6;-2.72;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
28;-0.0;26.82;-1.95;-6.4;22.53;13.07;-13.07;-13.07;2.34;0.0;6.67
29;-0.0;26.17;-1.3;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
30;-0.0;27.34;-2.46;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
31;-0.0;27.99;-3.11;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
32;0.33;31.01;-6.46;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
33;1.12;28.38;-4.62;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
34;1.91;26.56;-3.6;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
35;2.75;24.19;-2.06;-3.07;22.53;13.07;-13.07;-13.07;2.34;0.0;10.0
36;2.19;20.21;0.0;-1.77;20.29;11.77;-11.77;-11.77;2.11;0.0;10.0
37;1.82;14.99;0.0;1.17;15.22;8.83;-8.83;-8.83;1.58;0.0;10.0
38;0.84;12.35;0.0;3.07;11.95;6.93;-6.93;-6.93;1.24;0.0;10.0
39;-0.0;12.83;0.0;3.26;11.62;6.74;-6.74;-6.74;1.21;0.0;10.0
40;-0.0;13.6;0.0;2.85;12.32;7.15;-7.15;-7.15;1.28;0.0;10.0
41;-0.0;14.55;0.0;2.35;13.18;7.65;-7.65;-7.65;1.37;0.0;10.0
42;-0.0;15.63;0.0;1.79;14.16;8.21;-8.21;-8.21;1.47;0.0;10.0
43;-0.0;16.07;0.0;-1.77;14.55;8.44;-8.44;-8.44;1.51;0.0;6.67
44;-0.0;15.98;0.0;-1.73;14.47;8.4;-8.4;-8.4;1.51;0.0;6.67
45;-0.0;15.33;0.0;-1.39;13.89;8.06;-8.06;-8.06;1.44;0.0;6.67
46;-0.0;15.76;0.0;-1.62;14.28;8.28;-8.28;-8.28;1.48;0.0;6.67
47;-0.0;14.55;0.0;-0.98;13.18;7.65;-7.65;-7.65;1.37;0.0;6.67
48;-0.0;13.13;0.0;-0.23;11.89;6.9;-6.9;-6.9;1.24;0.0;6.67
49;-0.0;12.22;0.0;0.24;11.07;6.42;-6.42;-6.42;1.15;0.0;6.67
50;-0.0;11.75;0.0;0.49;10.64;6.17;-6.17;-6.17;1.11;0.0;6.67
51;-0.0;10.97;1.72;0.0;11.49;6.67;-6.67;-6.67;1.2;0.0;6.67
52;-0.0;10.19;13.97;-6.03;21.88;12.69;-12.69;-12.69;2.28;0.0;6.67
53;-0.0;9.85;9.19;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
