snapshot;battery_storage;hydrogen_storage
0;0.0;-6.402617698856354
1;0.0;-6.402617698856354
2;0.0;-6.402617698856354
3;0.0;-6.402617698856354
4;0.0;-6.402617698856354
5;0.0;-3.0696176988563546
6;0.0;-3.0696176988563546
7;-1.857830713417318;-3.0696176988563546
8;-11.557269054592489;-3.0696176988563546
9;-13.248670818029957;-3.0696176988563546
10;-15.164013945620137;-3.0696176988563546
11;-17.14067751516203;-3.0696176988563546
12;-14.351519251403616;-3.0696176988563546
13;-6.3987718273306164;-3.0696176988563546
14;2.648523064062277;-3.0696176988563533
15;1.972642317572389;0.0
16;7.556288482384157;-3.0696176988563533
17;0.0;0.6960125649505251
18;3.959339597309749;0.0
19;10.47993891866582;-4.716603674118247
20;4.827806010670835;0.0
21;3.013865016128029;0.0
22;0.0;-1.1848137866515076
23;0.0;-3.9984002304225683
24;-0.43368970786390976;-6.4026176988563535
25;-3.1977902709767614;-6.4026176988563535
26;-2.5499542014971874;-6.4026176988563535
27;-2.7227104866917395;-6.4026176988563535
28;-1.9453072033162513;-6.4026176988563535
29;-1.2974711338366773;-3.0696176988563533
30;-2.4635760588999114;-3.0696176988563533
31;-3.1114121283794853;-3.0696176988563533
32;-6.460856988555098;-3.0696176988563533
33;-4.618547607567595;-3.0696176988563533
34;-3.5968305812542134;-3.0696176988563533
35;-2.0602570379543903;-3.0696176988563533
36;0.0;-1.7707185142270987
37;0.0;1.1706609000420425
38;0.0;3.068905885621481
39;0.0;3.2600066629031863
40;0.0;2.851582824291258
41;0.0;2.3523981326544563
42;0.0;1.7851428012490018
43;0.0;-1.7747593313131826
44;0.0;-1.729378904800745
45;0.0;-1.3890257059574704
46;0.0;-1.6159278385196547
47;0.0;-0.9806018673455439
48;0.0;-0.2318248298903418
49;0.0;0.2446696484902411
50;0.0;0.4942619943086406
51;1.7181928771688826;0.0
52;13.966248183223026;-6.026328715955886
53;9.185217224444973;0.0
54;0.0;4.984462870375771
55;9.444351652236803;0.0
56;14.62106315190968;-3.0696176988563533
57;0.0;3.6832809763045242
58;0.0;2.994172864316771
59;0.0;1.9933419566577246
60;0.0;2.1569362824362566
61;0.0;3.600253051222537
62;5.983470948818338;0.0
63;10.44995625939292;-3.0696176988563533
64;2.793234672246516;0.0
65;2.274965816662857;0.0
66;0.0;0.87753427100027
67;0.0;-2.7731287145867842
68;0.0;-2.931960207380312
69;5.483213060049525;-6.4026176988563535
70;3.798839279402636;-6.4026176988563535
71;0.0;-5.291742386027009
72;0.0;-6.176660703019518
73;0.0;-6.402617698856354
74;0.0;-6.402617698856354
75;0.0;-6.402617698856354
76;0.0;-6.402617698856354
77;0.0;-3.0696176988563546
78;0.0;-3.0696176988563546
79;0.0;-3.0696176988563546
80;0.0;-3.0696176988563546
81;0.0;-3.0696176988563546
82;0.0;-3.0696176988563546
83;0.0;-3.0696176988563546
84;0.0;-3.0696176988563546
85;0.0;-3.0696176988563546
86;0.0;-3.0696176988563546
87;0.0;-3.0696176988563546
88;0.0;-3.0696176988563546
89;0.0;-3.0696176988563546
90;0.0;-3.0696176988563546
91;0.0;-6.402617698856354
92;0.0;-6.402617698856354
93;0.0;-6.402617698856354
94;0.0;-6.402617698856354
95;0.0;-6.402617698856354
96;0.0;-6.402617698856354
97;0.0;-6.402617698856354
98;0.0;-6.402617698856354
99;0.0;-6.402617698856354
100;-10.0216635361616;-6.402617698856354
101;-8.941936753695643;-3.0696176988563546
102;-6.309668799476768;-3.0696176988563546
103;-6.3074034044787055;-3.0696176988563546
104;-5.169768518658255;-3.0696176988563546
105;-6.209921874018946;-3.0696176988563546
106;-9.3391426670333;-3.0696176988563546
107;-15.386019260034981;-3.0696176988563546
108;-11.034058421866069;-3.0696176988563546
109;-0.9991698901319008;-3.0696176988563546
110;0.0;1.8322091552646373
111;0.0;3.7138109280275495
112;7.6304106576939965;0.0
113;9.314784438340888;0.0
114;10.351322149508205;0.0
115;4.007213655996708;0.0
116;3.791268299503518;0.0
117;3.2298103726212206;0.0
118;0.0;0.7892347666394786
119;0.0;-0.34527589617143395
120;0.0;-1.8655201843380542
121;7.685855696280071;-6.4026176988563535
122;7.383532197189605;-6.4026176988563535
123;0.0;-2.863889567611656
124;0.0;-3.6353568183230784
125;0.0;-0.07545468576089398
126;0.0;-2.20833473184541
127;-1.8157399894203372;-3.0696176988563533
128;-5.042442312894461;-3.0696176988563533
129;-7.58494417278479;-3.0696176988563533
130;-8.369172133354699;-3.0696176988563533
131;-7.631647235478717;-3.0696176988563533
132;-7.742115053852627;-3.0696176988563533
133;-1.294363753633709;-3.0696176988563533
134;1.0428551277875329;0.0
135;0.0;2.6019904784728567
136;6.1277984540432096;0.29024166825131736
137;0.0;3.645740288258895
138;0.0;3.1919360231345317
139;0.0;-0.7536997347833623
140;10.147632760299514;-6.40261769885481
141;0.0;-1.6386180517758717
142;0.0;-1.593237625263436
143;0.0;-2.0016614638753634
144;0.0;-2.500846155512166
145;0.0;-3.0454112736614025
146;0.0;-2.7050580748181297
147;0.0;-2.1378027434126743
148;9.499796690822881;-6.4026176988563535
149;3.5274488843233667;0.0
150;2.145398602766942;0.0
151;2.5772893157533248;0.0
152;2.6420220963022416;0.0
153;2.289583195920633;0.0
154;7.6549413433090185;-3.0696176988563533
155;1.5347932994624411;0.0
156;0.0;-0.15802744553240267
157;2.6915088297647527;-3.0696176988563533
158;4.2135666466048844;-3.0696176988563533
159;3.9715955645971865;-3.0696176988563533
160;2.200843641353017;-3.0696176988563533
161;2.1576545700514407;-3.0696176988548096
162;1.380251286678873;-3.0696176988563533
163;-19.92968828138904;6.666
164;-19.92968828138904;6.666
165;0.0;6.666
166;-19.92968828138904;6.666
167;-19.92968828138904;6.666
168;0.0;-5.450573878820535
169;0.0;-4.542965348571807
170;0.0;-3.431144899017113
171;0.0;-4.225302362984751
172;0.0;-3.862258950885259
173;0.37464667952277564;0.0
174;1.843075103676474;0.0
175;0.0;1.3540287493808556
176;2.154464288093479;0.0
177;0.0;1.0972120461920074
178;0.0;0.07133621141522184
179;0.0;-0.08570254335118399
180;0.0;-1.641854997322195
181;0.0;-2.338134061418435
182;0.0;-0.39798731485687533
183;0.0;-0.03007425924845819
184;0.0;-0.9149925762409694
185;0.0;-0.6200198039101341
186;0.0;-0.2796666050668595
187;0.0;-3.09079170017384
188;0.0;-3.3630742592484584
189;0.0;-3.9303295906539137
190;0.0;-3.408454685760894
191;0.0;-2.4100853024872944
192;0.0;-1.5251669854947814
193;0.0;-0.957911654089326
194;0.0;-0.7536997347833623
195;0.0;0.10852836895293194
196;0.0;-0.11837376360925056
197;0.9600199518539875;1.0311854208789502
198;0.0;-0.4838785243728232
199;0.0;-0.14352532552954855
200;0.0;-0.6995690634617979
201;-2.082512316794169;-3.0696176988548096
202;-2.9905524917296535;-3.0696176988563533
203;0.0;-2.701124068255968
204;0.0;-1.3080039642290853
205;5.035228678946022;-3.0696176988563533
206;0.0;1.0649961669657824
207;0.0;1.7851428012490018
208;0.0;2.2162568531171463
209;0.0;1.8985938675300922
