;grid;on_wind;hydrogen_storage;Curtailment
0;6.92;27.63;203.14;27.63
1;6.92;27.51;203.14;27.51
2;6.92;27.09;203.14;27.09
3;6.92;26.44;203.14;26.44
4;6.92;25.66;203.14;25.66
5;6.92;25.13;199.81;25.13
6;6.92;24.83;199.81;24.83
7;6.92;23.51;199.81;23.51
8;6.92;21.9;199.81;21.9
9;6.92;19.22;199.81;19.22
10;6.92;15.87;199.81;15.87
11;6.92;13.91;199.81;13.91
12;6.92;11.34;199.81;11.34
13;6.92;6.98;199.81;6.98
14;6.92;2.21;199.81;2.21
15;6.92;0.0;198.77;0.0
16;6.92;0.0;198.96;0.0
17;6.92;0.0;199.24;0.0
18;6.92;0.0;197.33;0.0
19;6.92;0.0;197.84;0.0
20;6.92;0.0;195.43;0.0
21;6.92;0.0;196.75;0.0
22;6.92;0.0;200.57;0.0
23;6.92;2.51;203.14;2.51
24;6.92;9.43;203.14;9.43
25;6.92;13.25;203.14;13.25
26;6.92;12.35;203.14;12.35
27;6.92;12.59;203.14;12.59
28;6.92;11.52;203.14;11.52
29;6.92;10.62;199.81;10.62
30;6.92;12.23;199.81;12.23
31;6.92;13.13;199.81;13.13
32;6.92;17.31;199.81;17.31
33;6.92;13.67;199.81;13.67
34;6.92;11.16;199.81;11.16
35;6.92;7.88;199.81;7.88
36;6.92;2.39;199.81;2.39
37;6.92;0.0;197.27;0.0
38;6.92;0.0;195.36;0.0
39;6.92;0.0;195.7;0.0
40;6.92;0.0;196.27;0.0
41;6.92;0.0;196.96;0.0
42;6.92;0.0;197.74;0.0
43;6.92;0.0;201.39;0.0
44;6.92;0.0;201.32;0.0
45;6.92;0.0;200.85;0.0
46;6.92;0.0;201.17;0.0
47;6.92;0.0;200.29;0.0
48;6.92;0.0;199.25;0.0
49;6.92;0.0;198.6;0.0
50;6.92;0.0;198.25;0.0
51;6.92;0.0;197.69;0.0
52;6.92;0.0;197.12;0.0
53;6.92;0.0;193.54;0.0
54;6.92;0.0;193.32;0.0
55;6.92;0.0;193.35;0.0
56;6.92;0.0;193.22;0.0
57;6.92;0.0;193.26;0.0
58;6.92;0.0;193.19;0.0
59;6.92;0.0;192.82;0.0
60;6.92;0.0;192.25;0.0
61;6.92;0.0;192.66;0.0
62;6.92;0.0;194.95;0.0
63;6.92;0.0;196.86;0.0
64;6.92;0.0;198.18;0.0
65;6.92;0.0;198.55;0.0
66;6.92;0.0;198.99;0.0
67;6.92;0.0;202.77;0.0
68;6.92;0.0;202.98;0.0
69;6.92;1.25;203.14;1.25
70;6.92;3.58;203.14;3.58
71;6.92;5.91;203.14;5.91
72;6.92;8.24;203.14;8.24
73;6.92;11.04;203.14;11.04
74;6.92;15.16;203.14;15.16
75;6.92;18.2;203.14;18.2
76;6.92;22.92;203.14;22.92
77;6.92;25.72;199.81;25.72
78;6.92;28.11;199.81;28.11
79;6.92;28.29;199.81;28.29
80;6.92;29.06;199.81;29.06
81;6.92;29.36;199.81;29.36
82;6.92;29.6;199.81;29.6
83;6.92;29.3;199.81;29.3
84;6.92;29.24;199.81;29.24
85;6.92;28.11;199.81;28.11
86;6.92;27.15;199.81;27.15
87;6.92;27.09;199.81;27.09
88;6.92;26.98;199.81;26.98
89;6.92;26.2;199.81;26.2
90;6.92;26.14;199.81;26.14
91;6.92;25.78;203.14;25.78
92;6.92;25.6;203.14;25.6
93;6.92;25.42;203.14;25.42
94;6.92;25.13;203.14;25.13
95;6.92;24.89;203.14;24.89
96;6.92;24.17;203.14;24.17
97;6.92;24.71;203.14;24.71
98;6.92;24.47;203.14;24.47
99;6.92;23.69;203.14;23.69
100;6.92;22.68;203.14;22.68
101;6.92;21.19;199.81;21.19
102;6.92;19.1;199.81;19.1
103;6.92;17.55;199.81;17.55
104;6.92;14.62;199.81;14.62
105;6.92;11.1;199.81;11.1
106;6.92;8.53;199.81;8.53
107;6.92;7.1;199.81;7.1
108;6.92;3.34;199.81;3.34
109;6.92;0.0;197.43;0.0
110;6.92;0.0;195.14;0.0
111;6.92;0.0;195.07;0.0
112;6.92;0.0;194.67;0.0
113;6.92;0.0;193.44;0.0
114;6.92;0.0;192.69;0.0
115;6.92;0.0;196.02;0.0
116;6.92;0.0;196.18;0.0
117;6.92;0.0;196.59;0.0
118;6.92;0.0;197.84;0.0
119;6.92;0.0;199.41;0.0
120;6.92;0.0;201.51;0.0
121;6.92;0.0;202.2;0.0
