;on_wind;grid;PEM input;Compressor;hydrogen_storage;Curtailment
0;25.54;-0.0;-23.14;-2.41;-6.75;-27.63
1;25.54;-0.0;-23.14;-2.41;-6.75;-27.51
2;25.54;-0.0;-23.14;-2.41;-6.75;-27.09
3;25.54;-0.0;-23.14;-2.41;-6.75;-26.44
4;25.54;-0.0;-23.14;-2.41;-6.75;-25.66
5;25.54;-0.0;-23.14;-2.41;-3.42;-25.13
6;25.54;-0.0;-23.14;-2.41;-3.42;-24.83
7;25.54;-0.0;-23.14;-2.41;-3.42;-23.51
8;25.54;-0.0;-23.14;-2.41;-3.42;-21.9
9;25.54;-0.0;-23.14;-2.41;-3.42;-19.22
10;25.54;-0.0;-23.14;-2.41;-3.42;-15.87
11;25.54;-0.0;-23.14;-2.41;-3.42;-13.91
12;25.54;-0.0;-23.14;-2.41;-3.42;-11.34
13;25.54;-0.0;-23.14;-2.41;-3.42;-6.98
14;25.54;-0.0;-23.14;-2.41;-3.42;-2.21
15;23.57;-0.0;-21.35;-2.22;-2.39;-0.0
16;23.93;-0.0;-21.68;-2.25;-2.57;-0.0
17;24.47;-0.0;-22.16;-2.3;-2.86;-0.0
18;20.83;-0.0;-18.87;-1.96;-0.94;-0.0
19;15.46;-0.0;-14.0;-1.46;-1.45;-0.0
20;10.86;-0.0;-9.84;-1.02;0.96;-0.0
21;13.37;-0.0;-12.11;-1.26;-0.36;-0.0
22;20.65;-0.0;-18.7;-1.94;-4.18;-0.0
23;25.54;-0.0;-23.14;-2.41;-6.75;-2.51
24;25.54;-0.0;-23.14;-2.41;-6.75;-9.43
25;25.54;-0.0;-23.14;-2.41;-6.75;-13.25
26;25.54;-0.0;-23.14;-2.41;-6.75;-12.35
27;25.54;-0.0;-23.14;-2.41;-6.75;-12.59
28;25.54;-0.0;-23.14;-2.41;-6.75;-11.52
29;25.54;-0.0;-23.14;-2.41;-3.42;-10.62
30;25.54;-0.0;-23.14;-2.41;-3.42;-12.23
31;25.54;-0.0;-23.14;-2.41;-3.42;-13.13
32;25.54;-0.0;-23.14;-2.41;-3.42;-17.31
33;25.54;-0.0;-23.14;-2.41;-3.42;-13.67
34;25.54;-0.0;-23.14;-2.41;-3.42;-11.16
35;25.54;-0.0;-23.14;-2.41;-3.42;-7.88
36;25.54;-0.0;-23.14;-2.41;-3.42;-2.39
37;20.71;-0.0;-18.76;-1.95;-0.88;-0.0
38;17.07;-0.0;-15.46;-1.61;1.03;-0.0
39;17.72;-0.0;-16.06;-1.67;0.69;-0.0
40;18.8;-0.0;-17.03;-1.77;0.12;-0.0
41;20.11;-0.0;-18.22;-1.89;-0.57;-0.0
42;21.6;-0.0;-19.57;-2.03;-1.35;-0.0
43;22.2;-0.0;-20.11;-2.09;-5.0;-0.0
44;22.08;-0.0;-20.0;-2.08;-4.93;-0.0
45;21.19;-0.0;-19.19;-2.0;-4.46;-0.0
46;21.78;-0.0;-19.73;-2.05;-4.78;-0.0
47;20.11;-0.0;-18.22;-1.89;-3.9;-0.0
48;18.14;-0.0;-16.43;-1.71;-2.87;-0.0
49;16.89;-0.0;-15.3;-1.59;-2.21;-0.0
50;16.23;-0.0;-14.7;-1.53;-1.86;-0.0
51;15.16;-0.0;-13.73;-1.43;-1.3;-0.0
52;14.08;-0.0;-12.76;-1.33;-0.73;-0.0
53;13.61;-0.0;-12.33;-1.28;2.85;-0.0
54;13.19;-0.0;-11.95;-1.24;3.07;-0.0
55;13.25;-0.0;-12.0;-1.25;3.04;-0.0
56;13.01;-0.0;-11.78;-1.23;3.16;-0.0
57;13.07;-0.0;-11.84;-1.23;3.13;-0.0
58;12.95;-0.0;-11.73;-1.22;3.2;-0.0
59;12.23;-0.0;-11.08;-1.15;3.57;-0.0
60;11.16;-0.0;-10.11;-1.05;4.14;-0.0
61;11.94;-0.0;-10.81;-1.12;3.73;-0.0
62;16.29;-0.0;-14.76;-1.53;1.44;-0.0
63;19.93;-0.0;-18.06;-1.88;-0.47;-0.0
64;22.44;-0.0;-20.33;-2.11;-1.79;-0.0
65;23.16;-0.0;-20.97;-2.18;-2.17;-0.0
66;23.99;-0.0;-21.73;-2.26;-2.61;-0.0
67;24.83;-0.0;-22.49;-2.34;-6.38;-0.0
68;25.24;-0.0;-22.87;-2.38;-6.6;-0.0
69;25.54;-0.0;-23.14;-2.41;-6.75;-1.25
70;25.54;-0.0;-23.14;-2.41;-6.75;-3.58
71;25.54;-0.0;-23.14;-2.41;-6.75;-5.91
72;25.54;-0.0;-23.14;-2.41;-6.75;-8.24
73;25.54;-0.0;-23.14;-2.41;-6.75;-11.04
74;25.54;-0.0;-23.14;-2.41;-6.75;-15.16
75;25.54;-0.0;-23.14;-2.41;-6.75;-18.2
76;25.54;-0.0;-23.14;-2.41;-6.75;-22.92
77;25.54;-0.0;-23.14;-2.41;-3.42;-25.72
78;25.54;-0.0;-23.14;-2.41;-3.42;-28.11
79;25.54;-0.0;-23.14;-2.41;-3.42;-28.29
80;25.54;-0.0;-23.14;-2.41;-3.42;-29.06
81;25.54;-0.0;-23.14;-2.41;-3.42;-29.36
82;25.54;-0.0;-23.14;-2.41;-3.42;-29.6
83;25.54;-0.0;-23.14;-2.41;-3.42;-29.3
84;25.54;-0.0;-23.14;-2.41;-3.42;-29.24
85;25.54;-0.0;-23.14;-2.41;-3.42;-28.11
86;25.54;-0.0;-23.14;-2.41;-3.42;-27.15
87;25.54;-0.0;-23.14;-2.41;-3.42;-27.09
88;25.54;-0.0;-23.14;-2.41;-3.42;-26.98
89;25.54;-0.0;-23.14;-2.41;-3.42;-26.2
90;25.54;-0.0;-23.14;-2.41;-3.42;-26.14
91;25.54;-0.0;-23.14;-2.41;-6.75;-25.78
92;25.54;-0.0;-23.14;-2.41;-6.75;-25.6
93;25.54;-0.0;-23.14;-2.41;-6.75;-25.42
94;25.54;-0.0;-23.14;-2.41;-6.75;-25.13
95;25.54;-0.0;-23.14;-2.41;-6.75;-24.89
96;25.54;-0.0;-23.14;-2.41;-6.75;-24.17
97;25.54;-0.0;-23.14;-2.41;-6.75;-24.71
98;25.54;-0.0;-23.14;-2.41;-6.75;-24.47
99;25.54;-0.0;-23.14;-2.41;-6.75;-23.69
100;25.54;-0.0;-23.14;-2.41;-6.75;-22.68
101;25.54;-0.0;-23.14;-2.41;-3.42;-21.19
102;25.54;-0.0;-23.14;-2.41;-3.42;-19.1
103;25.54;-0.0;-23.14;-2.41;-3.42;-17.55
104;25.54;-0.0;-23.14;-2.41;-3.42;-14.62
105;25.54;-0.0;-23.14;-2.41;-3.42;-11.1
106;25.54;-0.0;-23.14;-2.41;-3.42;-8.53
107;25.54;-0.0;-23.14;-2.41;-3.42;-7.1
108;25.54;-0.0;-23.14;-2.41;-3.42;-3.34
109;21.01;-0.0;-19.03;-1.98;-1.04;-0.0
110;16.65;-0.0;-15.08;-1.57;1.25;-0.0
111;16.53;-0.0;-14.97;-1.56;1.31;-0.0
112;15.76;-0.0;-14.27;-1.48;1.72;-0.0
113;13.43;-0.0;-12.16;-1.26;2.94;-0.0
114;12.0;-0.0;-10.87;-1.13;3.7;-0.0
115;12.0;-0.0;-10.87;-1.13;0.36;-0.0
116;12.29;-0.0;-11.14;-1.16;0.21;-0.0
117;13.07;-0.0;-11.84;-1.23;-0.2;-0.0
118;15.46;-0.0;-14.0;-1.46;-1.45;-0.0
119;18.44;-0.0;-16.7;-1.74;-3.02;-0.0
120;22.44;-0.0;-20.33;-2.11;-5.12;-0.0
121;23.75;-0.0;-21.52;-2.24;-5.81;-0.0
122;24.17;-0.0;-21.89;-2.28;-6.03;-0.0
123;25.07;-0.0;-22.7;-2.36;-6.5;-0.0
124;25.54;-0.0;-23.14;-2.41;-6.75;-1.55
125;25.54;-0.0;-23.14;-2.41;-3.42;-0.95
126;25.54;-0.0;-23.14;-2.41;-3.42;-6.56
127;25.54;-0.0;-23.14;-2.41;-3.42;-11.34
128;25.54;-0.0;-23.14;-2.41;-3.42;-15.22
129;25.54;-0.0;-23.14;-2.41;-3.42;-18.02
130;25.54;-0.0;-23.14;-2.41;-3.42;-18.98
131;25.54;-0.0;-23.14;-2.41;-3.42;-15.58
132;25.54;-0.0;-23.14;-2.41;-3.42;-10.38
133;25.54;-0.0;-23.14;-2.41;-3.42;-3.34
134;22.8;-0.0;-20.65;-2.15;-1.98;-0.0
135;19.46;-0.0;-17.62;-1.83;-0.22;-0.0
136;17.07;-0.0;-15.46;-1.61;1.03;-0.0
137;16.71;-0.0;-15.14;-1.57;1.22;-0.0
138;17.9;-0.0;-16.22;-1.69;0.59;-0.0
