snapshot;on_wind;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
1;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
2;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
3;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
4;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
5;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
6;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
7;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
8;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
9;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
10;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
11;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
12;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
13;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
14;25.54;-0.0;-3.42;23.14;13.42;-13.42;-13.42;2.41;0.0;10.0
15;23.57;-0.0;-2.39;21.35;12.38;-12.38;-12.38;2.22;0.0;10.0
16;23.93;-0.0;-2.57;21.68;12.57;-12.57;-12.57;2.25;0.0;10.0
17;24.47;-0.0;-2.86;22.16;12.86;-12.86;-12.86;2.3;0.0;10.0
18;20.83;-0.0;-0.94;18.87;10.94;-10.94;-10.94;1.96;0.0;10.0
19;15.46;-0.0;-1.45;14.0;8.12;-8.12;-8.12;1.46;0.0;6.67
20;10.86;-0.0;0.96;9.84;5.71;-5.71;-5.71;1.02;0.0;6.67
21;13.37;-0.0;-0.36;12.11;7.02;-7.02;-7.02;1.26;0.0;6.67
22;20.65;-0.0;-4.18;18.7;10.85;-10.85;-10.85;1.94;0.0;6.67
23;25.54;-0.0;-6.75;23.14;13.42;-13.42;-13.42;2.41;0.0;6.67
