;pv;grid;PEM input;battery_storage;Compressor;hydrogen_storage;Curtailment
0;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
1;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
2;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
3;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
4;-0.0;14.11;-24.2;12.61;-2.52;-7.37;-0.0
5;-0.0;14.11;-24.2;12.61;-2.52;-4.04;-0.0
6;-0.0;14.11;-24.2;12.61;-2.52;-4.04;-0.0
7;-0.0;14.11;-17.93;5.69;-1.86;-0.4;-0.0
8;4.31;14.11;-24.2;8.3;-2.52;-4.04;-0.0
9;11.78;14.11;-23.45;0.0;-2.44;-3.6;-0.0
10;20.69;14.11;-24.2;-8.07;-2.52;-4.04;-0.0
11;27.68;14.11;-24.2;-15.06;-2.52;-4.04;-0.0
12;25.76;14.11;-24.2;-13.15;-2.52;-4.04;-0.0
13;15.9;14.11;-24.2;-3.28;-2.52;-4.04;-0.0
14;4.41;14.11;-24.2;8.21;-2.52;-4.04;-0.0
15;-0.0;14.11;-24.2;12.61;-2.52;-4.04;-0.0
16;-0.0;14.11;-24.2;12.61;-2.52;-4.04;-0.0
17;-0.0;14.11;-13.88;1.21;-1.44;1.95;-0.0
18;-0.0;14.11;-17.24;4.93;-1.79;0.0;-0.0
19;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
20;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
21;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
22;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
23;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
24;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
25;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
26;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
27;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
28;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
29;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
30;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
31;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
32;0.67;14.11;-13.39;0.0;-1.39;2.24;-0.0
33;2.3;14.11;-14.86;0.0;-1.55;1.38;-0.0
34;3.93;14.11;-16.33;0.0;-1.7;0.52;-0.0
35;5.65;14.11;-17.9;0.0;-1.86;-0.38;-0.0
36;4.5;14.11;-16.86;0.0;-1.75;0.22;-0.0
37;3.73;14.11;-16.16;0.0;-1.68;0.63;-0.0
38;1.72;14.11;-14.34;0.0;-1.49;1.68;-0.0
39;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
40;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
41;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
42;-0.0;14.11;-12.78;0.0;-1.33;2.59;-0.0
43;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
44;-0.0;14.11;-12.78;0.0;-1.33;-0.75;-0.0
