snapshot;pv;grid;battery_storage;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
1;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
2;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
3;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
4;-0.0;14.11;12.61;-7.37;24.2;14.04;-14.04;-14.04;2.52;0.0;6.67
5;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
6;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
7;-0.0;14.11;5.69;-0.4;17.93;10.4;-10.4;-10.4;1.86;0.0;10.0
8;4.31;14.11;8.3;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
9;11.78;14.11;0.0;-3.6;23.45;13.6;-13.6;-13.6;2.44;0.0;10.0
10;20.69;14.11;-8.07;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
11;27.68;14.11;-15.06;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
12;25.76;14.11;-13.15;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
13;15.9;14.11;-3.28;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
14;4.41;14.11;8.21;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
15;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
16;-0.0;14.11;12.61;-4.04;24.2;14.04;-14.04;-14.04;2.52;0.0;10.0
17;-0.0;14.11;1.21;1.95;13.88;8.05;-8.05;-8.05;1.44;0.0;10.0
18;-0.0;14.11;4.93;0.0;17.24;10.0;-10.0;-10.0;1.79;0.0;10.0
19;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
20;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
21;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
22;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
23;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
24;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
25;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
26;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
27;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
28;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
29;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
30;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
31;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
32;0.67;14.11;0.0;2.24;13.39;7.76;-7.76;-7.76;1.39;0.0;10.0
33;2.3;14.11;0.0;1.38;14.86;8.62;-8.62;-8.62;1.55;0.0;10.0
34;3.93;14.11;0.0;0.52;16.33;9.47;-9.47;-9.47;1.7;0.0;10.0
35;5.65;14.11;0.0;-0.38;17.9;10.38;-10.38;-10.38;1.86;0.0;10.0
36;4.5;14.11;0.0;0.22;16.86;9.78;-9.78;-9.78;1.75;0.0;10.0
37;3.73;14.11;0.0;0.63;16.16;9.37;-9.37;-9.37;1.68;0.0;10.0
38;1.72;14.11;0.0;1.68;14.34;8.32;-8.32;-8.32;1.49;0.0;10.0
39;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
40;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
41;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
42;-0.0;14.11;0.0;2.59;12.78;7.41;-7.41;-7.41;1.33;0.0;10.0
43;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
44;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
45;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
46;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
47;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
48;-0.0;14.11;0.0;-0.75;12.78;7.41;-7.41;-7.41;1.33;0.0;6.67
