;grid;PEM input;Compressor;hydrogen_storage;Curtailment
0;17.36;-15.73;-1.64;-2.46;0
1;17.36;-15.73;-1.64;-2.46;0
2;17.36;-15.73;-1.64;-2.46;0
3;17.36;-15.73;-1.64;-2.46;0
4;17.36;-15.73;-1.64;-2.46;0
5;17.36;-15.73;-1.64;0.88;0
6;17.36;-15.73;-1.64;0.88;0
7;17.36;-15.73;-1.64;0.88;0
8;17.36;-15.73;-1.64;0.88;0
9;17.36;-15.73;-1.64;0.88;0
10;17.36;-15.73;-1.64;0.88;0
11;17.36;-15.73;-1.64;0.88;0
12;17.36;-15.73;-1.64;0.88;0
13;17.36;-15.73;-1.64;0.88;0
14;17.36;-15.73;-1.64;0.88;0
15;17.36;-15.73;-1.64;0.88;0
16;17.36;-15.73;-1.64;0.88;0
17;17.36;-15.73;-1.64;0.88;0
18;17.36;-15.73;-1.64;0.88;0
19;17.36;-15.73;-1.64;-2.46;0
20;17.36;-15.73;-1.64;-2.46;0
21;17.36;-15.73;-1.64;-2.46;0
22;17.36;-15.73;-1.64;-2.46;0
23;3.86;-3.49;-0.36;4.64;0
24;17.36;-15.73;-1.64;-2.46;0
25;17.36;-15.73;-1.64;-2.46;0
26;7.49;-6.79;-0.71;2.73;0
27;17.36;-15.73;-1.64;-2.46;0
28;17.36;-15.73;-1.64;-2.46;0
29;17.36;-15.73;-1.64;0.88;0
30;17.36;-15.73;-1.64;0.88;0
31;17.36;-15.73;-1.64;0.88;0
32;17.36;-15.73;-1.64;0.88;0
33;17.36;-15.73;-1.64;0.88;0
34;17.36;-15.73;-1.64;0.88;0
35;17.36;-15.73;-1.64;0.88;0
36;17.36;-15.73;-1.64;0.88;0
37;17.36;-15.73;-1.64;0.88;0
38;17.36;-15.73;-1.64;0.88;0
39;17.36;-15.73;-1.64;0.88;0
40;17.36;-15.73;-1.64;0.88;0
41;17.36;-15.73;-1.64;0.88;0
42;17.36;-15.73;-1.64;0.88;0
43;17.36;-15.73;-1.64;-2.46;0
44;17.36;-15.73;-1.64;-2.46;0
45;17.36;-15.73;-1.64;-2.46;0
46;17.36;-15.73;-1.64;-2.46;0
47;17.36;-15.73;-1.64;-2.46;0
48;17.36;-15.73;-1.64;-2.46;0
49;3.86;-3.49;-0.36;4.64;0
50;7.49;-6.79;-0.71;2.73;0
51;17.36;-15.73;-1.64;-2.46;0
52;17.36;-15.73;-1.64;-2.46;0
53;17.36;-15.73;-1.64;0.88;0
54;17.36;-15.73;-1.64;0.88;0
55;17.36;-15.73;-1.64;0.88;0
56;17.36;-15.73;-1.64;0.88;0
57;17.36;-15.73;-1.64;0.88;0
58;17.36;-15.73;-1.64;0.88;0
59;17.36;-15.73;-1.64;0.88;0
60;17.36;-15.73;-1.64;0.88;0
61;17.36;-15.73;-1.64;0.88;0
62;17.36;-15.73;-1.64;0.88;0
63;17.36;-15.73;-1.64;0.88;0
