snapshot;grid;hydrogen_storage;PEM input;Compressor input (MW_H2);PEM output;Compressor output (MW_H2);Compressor;Electrolyzer BoP consumption  (MW);demand
0;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
1;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
2;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
3;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
4;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
5;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
6;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
7;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
8;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
9;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
10;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
11;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
12;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
13;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
14;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
15;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
16;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
17;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
18;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
19;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
20;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
21;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
22;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
23;3.86;4.64;3.49;2.03;-2.03;-2.03;0.36;0.0;6.67
24;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
25;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
26;7.49;2.73;6.79;3.94;-3.94;-3.94;0.71;0.0;6.67
27;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
28;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
29;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
30;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
31;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
32;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
33;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
34;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
35;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
36;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
37;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
38;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
39;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
40;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
41;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
42;17.36;0.88;15.73;9.12;-9.12;-9.12;1.64;0.0;10.0
43;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
44;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
45;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
46;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
47;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
48;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
49;3.86;4.64;3.49;2.03;-2.03;-2.03;0.36;0.0;6.67
50;7.49;2.73;6.79;3.94;-3.94;-3.94;0.71;0.0;6.67
51;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
52;17.36;-2.46;15.73;9.12;-9.12;-9.12;1.64;0.0;6.67
